name,url,remote_support,adaptive_support,test_type,description,duration
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,"['Personality & Behavior', 'Competencies']",Entry Level Customer Serv-Retail & Contact Center: The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by…,15
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,"['Competencies', 'Personality & Behavior']",Entry Level Customer Service (General) Solution: The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with…,15
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,"['Competencies', 'Personality & Behavior']",Entry Level Hotel Front Desk Solution: The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate…,15
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,Yes,No,"['Competencies', 'Personality & Behavior']",Entry Level Sales Solution: The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have…,15
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,"['Personality & Behavior', 'Competencies']",Entry Level Technical Support Solution: The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a…,15
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,Yes,No,['Knowledge & Skills'],"ETL Testing (New): Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing…",15
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,Yes,No,['Biodata & Situational Judgement'],Executive Scenarios: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,15
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,['Biodata & Situational Judgement'],Executive Scenarios Narrative Report: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,15
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,['Biodata & Situational Judgement'],Executive Scenarios Profile Report: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,15
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,Yes,No,['Knowledge & Skills'],"ExpressJS (New): Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",15
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,Yes,No,['Knowledge & Skills'],Filing - Names (R1): This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized…,15
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,Yes,No,['Knowledge & Skills'],Filing - Numbers: This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is…,15
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,Yes,No,['Knowledge & Skills'],"Financial Accounting (New): Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate…",15
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,['Knowledge & Skills'],"Financial and Banking Services (New): Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",15
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,Yes,No,['Knowledge & Skills'],"Fire Engineering (New): Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",15
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,['Knowledge & Skills'],Following Instructions v1 - UK (R1): This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of…,15
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,Yes,No,['Knowledge & Skills'],Following Instructions v1 - US (R2): This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of…,15
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,Yes,No,['Knowledge & Skills'],"Food and Beverage Services (New): Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",15
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,Yes,No,['Knowledge & Skills'],"Food Science (New): Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.",15
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,Yes,No,['Knowledge & Skills'],Front Office Management (New): Multi-choice test that measures the knowledge of front office operations.,15
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,['Knowledge & Skills'],"Fundamentals of Chemistry (New): Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.",15
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,['Knowledge & Skills'],"Fundamentals of Physics (New): Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",15
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,Yes,No,['Knowledge & Skills'],"General Diseases (New): Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs…",15
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,['Knowledge & Skills'],"Geoinformatics Engineering (New): Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and…",15
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,Yes,No,['Knowledge & Skills'],"Geoscience Engineering (New): Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.",15
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,Yes,No,['Knowledge & Skills'],GIT (New): Multi-choice test that measures the knowledge of how to use GIT for version control.,15
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,Yes,No,"['Competencies', 'Knowledge & Skills']",Global Skills Assessment: The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most…,15
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,Yes,No,['Biodata & Situational Judgement'],Graduate Scenarios: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,15
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,['Biodata & Situational Judgement'],Graduate Scenarios Narrative Report: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,15
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,['Biodata & Situational Judgement'],Graduate Scenarios Profile Report: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,15
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,Yes,No,['Knowledge & Skills'],"Hibernate (New): Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).",15
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,Yes,Yes,['Knowledge & Skills'],HIPAA (Security): The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to…,15
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"['Competencies', 'Personality & Behavior']","HiPo Assessment Report 1.0: Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps…",15
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,"['Competencies', 'Personality & Behavior']","HiPo Assessment Report 2.0: Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps…",15
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,['Competencies'],"HiPo Unlocking Potential Report 2.0: This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it…",15
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,Yes,No,['Knowledge & Skills'],"Housekeeping (New): Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",15
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,Yes,No,['Knowledge & Skills'],HTML/CSS (New): Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,15
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,Yes,No,['Knowledge & Skills'],HTML5 (New): Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,15
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,Yes,No,['Knowledge & Skills'],Human Resources (New): Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning…,15
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,Yes,No,['Knowledge & Skills'],"IBM DataStage (New): Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer…",15
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,['Knowledge & Skills'],"IBM Sterling Order Management System (New): Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory…",15
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,Yes,No,['Knowledge & Skills'],"Industrial Engineering (New): Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.",15
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,Yes,No,['Knowledge & Skills'],"Informatica (Architecture) (New): Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",15
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,Yes,No,['Knowledge & Skills'],"Informatica (Developer) (New): Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",15
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,Yes,No,['Knowledge & Skills'],"Instrumentation Engineering (New): Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.",15
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,Yes,Yes,['Knowledge & Skills'],Interpersonal Communications: This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage…,15
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,['Knowledge & Skills'],Interviewing and Hiring Concepts (U.S.): The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers…,15
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,Yes,No,['Knowledge & Skills'],"iOS Development (New): Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.",15
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,['Knowledge & Skills'],"ITIL (IT Infrastructure Library) (New): Multi-choice test that measures the knowledge of capacity management, change management and problem management.",15
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,['Knowledge & Skills'],"Java 2 Platform Enterprise Edition 1.4 Fundamental: The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this…",15
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,Yes,No,['Knowledge & Skills'],"Java 8 (New): Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.",15
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Yes,No,['Knowledge & Skills'],Java Design Patterns (New): Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,15
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,Yes,No,['Knowledge & Skills'],"Java Frameworks (New): Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.",15
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,['Knowledge & Skills'],"Java Platform Enterprise Edition 7 (Java EE 7): The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this…",15
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,Yes,No,['Knowledge & Skills'],"Java Web Services (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.",15
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,Yes,No,['Knowledge & Skills'],JavaScript (New): Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,15
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,Yes,No,['Knowledge & Skills'],"Jenkins (New): Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.",15
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,Yes,No,['Knowledge & Skills'],"Job Control Language (New): Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.",15
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,Yes,No,['Knowledge & Skills'],"jQuery (New): Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.",15
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,Yes,No,['Knowledge & Skills'],"Kubernetes (New): Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.",15
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,Yes,No,['Knowledge & Skills'],Linux Administration (New): Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,15
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,Yes,No,['Knowledge & Skills'],"Linux Operating System : Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.",15
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,Yes,Yes,['Knowledge & Skills'],"Linux Programming (General): The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the…",15
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,Yes,No,['Knowledge & Skills'],"Load Runner (New): Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller…",15
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,Yes,No,['Biodata & Situational Judgement'],Management Scenarios: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,15
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,Yes,No,['Biodata & Situational Judgement'],Managerial Scenarios Candidate Report: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,15
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,Yes,No,['Biodata & Situational Judgement'],Managerial Scenarios Narrative Report: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,15
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,Yes,No,['Biodata & Situational Judgement'],Managerial Scenarios Profile Report: Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It…,15
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,Yes,No,['Knowledge & Skills'],"Manual Testing (New): Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test…",15
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Yes,No,"['Ability & Aptitude', 'Personality & Behavior']",Manufac. & Indust. - Mechanical & Vigilance 8.0: The Manufacturing & Industrial Mechanical & Vigilance Focus 8.0 Job-Focused Assessment   measures the behaviors that underlie successful and safe performance…,15
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,['Personality & Behavior'],Manufac. & Indust. - Safety & Dependability 8.0: The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment   measures the behaviors that underlie safe performance in a work…,15
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,Yes,No,['Personality & Behavior'],Manufacturing & Industrial - Essential Focus 8.0: The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors   that underlie successful and safe performance in an…,15
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,"['Ability & Aptitude', 'Personality & Behavior']",Manufacturing & Industrial - Mechanical Focus 8.0: The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the   behaviors that underlie successful and safe performance in an…,15
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,"['Ability & Aptitude', 'Personality & Behavior']",Manufacturing & Industrial - Vigilance Focus 8.0: The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the   behaviors that underlie successful and safe performance in an…,15
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,Yes,No,['Knowledge & Skills'],"Marketing (New): Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management…",15
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,Yes,No,['Knowledge & Skills'],"Maven (New): Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins.",15
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,Yes,No,['Knowledge & Skills'],"Mechanical Engineering (New): Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science.",15
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,['Knowledge & Skills'],"Mechatronics Engineering (New): Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators…",15
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,Yes,No,['Knowledge & Skills'],"Medical Terminology (New): Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.",15
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,Yes,No,['Knowledge & Skills'],"Metallurgical Engineering (New): Multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy.",15
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,['Development & 360'],"MFS 360 Enterprise Leadership Report: The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report…",15
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,['Development & 360'],MFS 360 UCF Group Report: This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all…,15
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Yes,No,['Development & 360'],MFS 360 UCF Performance Potential Dev Tips Report: This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots…,15
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,Yes,No,['Development & 360'],MFS 360 UCF Standard Report: This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the…,15
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Yes,No,['Knowledge & Skills'],Micro Focus Unified Functional Testing (New): Multi-choice test that measures the knowledge of automation testing using the QTP tool.,15
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,Yes,No,['Knowledge & Skills'],"Microservices (New): Multi-choice test that measures the knowledge of Microservices architecture, SOA, and Microservices patterns.",15
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,Yes,No,['Knowledge & Skills'],"Microsoft Dynamics Development (New): Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity…",15
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,Yes,No,"['Knowledge & Skills', 'Simulations']","Microsoft Excel 365 - Essentials (New): The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the…",15
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,Yes,No,"['Knowledge & Skills', 'Simulations']","Microsoft Excel 365 (New): The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics…",15
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Yes,Yes,['Knowledge & Skills'],"Microsoft Outlook 2013 (adaptive): The Microsoft Outlook 2013 (adaptive) test measures knowledge of Microsoft Outlook 2013. Designed for professionals, this test includes the following topics…",15
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Yes,No,"['Knowledge & Skills', 'Simulations']","Microsoft PowerPoint 365 - Essentials (New): The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and…",15
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,Yes,Yes,['Knowledge & Skills'],Microsoft SQL Server 2014 Programming: The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced…,15
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,Yes,['Knowledge & Skills'],Microsoft Windows Server 2012 Administration: The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators…,15
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,"['Knowledge & Skills', 'Simulations']","Microsoft Word 365 - Essentials (New): The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the…",15
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,Yes,No,"['Simulations', 'Knowledge & Skills']","Microsoft Word 365 (New): The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following…",15
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,Yes,No,['Knowledge & Skills'],"Mineral Engineering (New): Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical…",15
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,Yes,No,['Knowledge & Skills'],"Mining Engineering (New): Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy.",15
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,Yes,No,['Knowledge & Skills'],Mobility (New): Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.,15
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,Yes,No,['Knowledge & Skills'],"Molecular Biology (New): Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes.",15
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,Yes,No,['Knowledge & Skills'],"MongoDB (New): Multi-choice test that measures the conceptual knowledge of MongoDB like sharding, replication, indexing, security and storage. It also checks the knowledge of…",15
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,['Personality & Behavior'],"Motivation Questionnaire MQM5: By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This…",15
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,['Personality & Behavior'],MQ Candidate Motivation Report: The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an…,15
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,['Personality & Behavior'],"MQ Employee Motivation Report: The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation…",15
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,['Personality & Behavior'],"MQ Motivation Report Pack: The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your…",15
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,Yes,No,['Personality & Behavior'],MQ Profile: The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as…,15
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,Yes,No,['Knowledge & Skills'],MS Access (New): Multi-choice test that measures the knowledge and basic understanding of MS Access programming.,15
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,Yes,No,['Knowledge & Skills'],"MS Excel (New): Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.",15
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,Yes,No,['Knowledge & Skills'],"MS Office Basic Computer Literacy (New): Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.",15
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,Yes,No,['Simulations'],"MS Office Basic Computer Literacy (Sim) (New): Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.",15
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,Yes,No,['Knowledge & Skills'],"MS PowerPoint (New): Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.",15
